view,like,danmaku,reply,favorite,coin,share,point
402697,21639,4019,1078,7134,15120,2427,419527
417073,15499,1064,715,11301,4997,6167,418870
527785,29637,827,825,4981,20536,1206,417886
342721,27365,4451,1253,8286,12950,2656,408696
458530,33444,5039,1136,5325,11180,784,406567
790816,5212,1114,2398,1978,504,12677,406473
401664,30391,4320,1515,6581,18852,1093,406337
280876,37601,1695,1487,14910,35067,2148,403620
483722,43948,4804,1181,3420,15753,681,398645
467480,27911,1604,1370,3887,10518,824,396508
335493,19025,3504,2139,10056,15680,3177,392280
400033,41648,4257,2145,6306,61197,445,385058
442820,50541,7420,1720,4544,13987,479,382858
438675,8171,1650,713,6289,2484,7877,378222
422434,11757,1070,1859,5345,982,5171,376318
393334,33690,2716,708,6286,22626,2758,363908
409565,15753,11324,1900,3219,9895,1944,363712
181313,21261,443,838,16460,25126,2183,358444
475145,36879,2479,825,2734,7237,1394,351278
260128,26664,1180,779,8784,21122,1034,351003
314101,23598,1580,683,9482,8896,4969,350528
431288,27192,1590,695,3225,13958,1134,345917
296323,34958,5044,1956,8572,43824,1142,338419
272755,8225,251,535,9437,5359,393,334000
279173,14899,7099,2736,3353,6455,3140,325180
263475,25145,2332,1476,8521,29909,1601,319903
107037,7787,431,370,15989,8220,271,316690
274071,19962,431,651,8607,6815,2531,314360
251570,15348,5097,1410,5924,9353,2555,311686
469212,14865,1050,856,894,2352,1176,311274
260636,13501,5165,997,5485,10490,1002,306882
337916,32739,6692,1135,3455,9916,1994,302453
331073,14080,1369,1282,3930,15333,617,302373
400462,18927,335,796,3069,1598,486,301959
349433,22375,3694,1368,3782,5643,893,301486
219088,17274,5045,1182,7634,11078,1785,301207
308454,15501,814,679,6493,14526,4872,295499
234381,25240,1615,1299,8151,10439,2415,293302
607684,11829,494,955,2697,520,3049,289581
144584,26921,2211,1600,12783,37140,3745,287830
309201,11780,281,360,6213,2095,3135,281486
323884,18795,1387,1325,1992,6630,1108,274185
1309342,4915,1801,3800,786,236,4655,262237
235951,16065,1355,1719,4415,15449,1047,256731
283317,8443,373,711,4383,5713,7802,251884
367015,15104,680,559,713,3332,202,244697
808007,11402,457,950,1452,2395,471,244368
289071,12298,2081,332,1217,7899,290,241648
271035,4973,136,796,4241,1450,6738,241200
200669,16113,322,405,7154,9017,740,238951
324968,18601,1566,739,1285,2886,539,237458
170879,13104,665,477,8517,8352,2605,236232
285164,4600,36,159,4363,833,4947,234412
215216,6126,2035,3973,1220,1612,839,231147
262324,8357,733,1461,1746,7475,4871,230119
214709,30503,1217,1191,4860,25777,393,229553
292206,5574,694,2113,938,535,7429,229201
296937,14409,1279,885,1134,4527,692,228895
262640,4285,2116,1422,2000,784,4558,227393
281543,22262,1877,778,2084,12643,489,226637
454426,1380,242,1208,1778,72,499,226627
251252,6955,1186,1762,1523,2662,248,225515
205997,6047,1011,742,3608,3960,442,224706
164577,10691,2410,2549,6181,5621,5030,224686
161754,15910,2196,2538,3387,13705,105,222846
314433,11050,564,402,1058,6893,423,221544
119836,10603,3117,1038,9693,2526,1138,221404
1804675,62447,19791,10128,26936,14843,36776,1488261
